7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1021.400,601.400,96.240,459.900,2863.500,3193.000,9120.000,855.167,2893.000,1210.000,417.400,8442,599.000,982.667,1244.500,4438.000,1243.333,609.500,887.500,1138.333,855.667,4124.000,1421.333,1483.000,3278,1603.500,371.400,3317.000,951.250,3616.000,23.973,51.160,140.860,121.290,74.480,24.270,61.260,84.780,104.150,129.620,57.940,45.120,28.800,120.400,55.610,98.030,56.230,154.280,116.500,152.350,79.830,148.250,76.450,32.750,60.690,129.690,175.540,118.850,148.620,83.060
1025.400,607.600,99.020,455.300,2896.000,3295.000,9235.000,854.000,2850.667,1215.200,421.000,8486,608.000,976.500,1264.500,4482.000,1250.000,619.750,889.750,1144.667,870.667,4315.000,1403.667,1464.000,3268,1624.000,380.500,3302.000,940.000,3616.000,23.973,51.160,140.860,121.290,74.480,24.270,61.260,84.780,104.150,129.620,57.940,45.120,28.800,120.400,55.610,98.030,56.230,154.280,116.500,152.350,79.830,148.250,76.450,32.750,60.690,129.690,175.540,118.850,148.620,83.060
1030.600,607.200,98.740,450.000,2864.000,3277.000,8846.667,856.500,2850.000,1213.800,412.900,8440,605.167,962.500,1273.000,4469.000,1231.667,618.000,879.000,1131.667,861.000,4320.000,1414.000,1470.000,3210,1617.000,376.900,3330.000,938.750,3623.000,23.747,51.170,141.560,122.270,74.670,24.380,59.550,85.440,103.570,129.350,58.000,45.430,28.330,120.760,55.200,97.660,56.530,154.270,115.230,151.680,78.670,144.450,74.380,32.680,59.150,126.970,175.630,118.680,146.280,83.520
1012.800,605.800,100.880,433.800,2806.500,3264.000,8633.333,849.500,2808.667,1193.400,408.400,8195,594.333,939.667,1243.500,4384.000,1221.667,606.000,839.750,1108.333,821.833,4284.000,1383.000,1431.000,3120,1592.000,355.800,3179.000,912.500,3618.000,23.883,51.380,142.380,122.640,74.060,24.607,60.190,85.030,104.580,131.570,59.160,45.270,28.720,120.630,55.800,98.450,56.260,156.050,116.820,152.370,78.500,145.580,74.830,32.970,59.480,126.960,175.160,118.760,144.360,81.550
1014.600,606.800,99.480,434.200,2765.000,3199.000,8676.667,853.000,2777.333,1184.200,403.100,8098,589.000,939.667,1244.000,4398.000,1238.333,603.000,837.500,1103.333,820.833,4309.000,1381.667,1437.000,3100,1587.000,348.700,3159.000,887.500,3649.000,23.985,51.380,140.800,122.510,74.510,24.510,60.580,84.830,103.050,131.160,58.780,45.090,28.740,120.920,55.920,98.410,55.380,156.590,116.110,152.600,78.760,147.000,75.050,33.200,59.810,127.170,174.870,117.510,144.600,80.500
1011.000,602.600,96.580,428.700,2699.500,3134.000,8481.667,849.167,2830.000,1180.200,403.300,8029,582.667,925.000,1226.000,4253.000,1226.667,594.000,849.750,1084.000,825.500,4289.000,1359.333,1420.000,3100,1603.500,343.700,3140.000,856.250,3613.000,24.170,52.300,141.270,122.850,76.420,24.613,61.830,85.770,104.770,134.340,59.350,45.380,29.260,121.310,56.720,99.620,55.900,161.100,118.840,154.460,80.890,150.380,77.370,34.000,61.490,130.090,177.120,118.080,148.200,81.800
1060.200,626.600,98.280,446.500,2839.000,3165.000,8948.333,879.333,2923.333,1215.400,419.900,8507,615.500,950.333,1272.500,4383.000,1266.667,612.000,884.000,1150.000,858.833,4313.000,1428.000,1463.000,3232,1628.000,361.300,3253.000,895.000,3762.000,24.245,52.590,140.320,122.930,76.520,24.687,62.270,85.750,105.390,135.150,59.340,45.570,29.430,122.000,56.830,99.980,55.930,160.180,118.570,155.330,81.660,152.190,77.800,34.380,62.160,132.040,178.010,118.120,149.550,82.010
1088.600,628.200,98.240,472.600,2922.500,3234.000,9266.667,892.667,2964.000,1244.400,437.900,8689,620.000,999.333,1273.500,4426.000,1280.000,610.500,914.250,1195.667,882.000,4358.000,1460.667,1545.000,3359,1667.500,382.600,3373.000,931.250,3766.000,24.355,53.210,139.860,122.920,77.480,24.423,63.200,85.750,106.780,134.840,59.600,45.580,29.610,122.250,58.060,100.200,55.470,161.960,119.020,157.040,81.930,156.920,79.800,34.940,63.000,130.810,179.160,118.090,152.850,81.220
1125.600,614.800,97.400,497.600,2935.000,3186.000,9381.667,894.833,2910.000,1245.600,453.200,8828,642.000,1042.667,1300.000,4377.000,1266.667,622.750,939.250,1214.333,912.833,4369.000,1509.000,1603.000,3436,1651.500,390.400,3428.000,945.000,3760.000,24.218,53.510,141.480,123.000,77.460,24.540,63.160,85.890,106.650,133.560,59.550,45.740,29.750,122.820,57.990,99.880,56.000,160.520,119.050,158.020,81.330,157.920,79.690,35.010,63.100,130.110,179.210,118.000,153.540,81.770
1129.600,632.400,98.000,497.500,2996.500,3191.000,9220.000,887.667,2988.333,1261.000,449.300,8870,641.167,1037.667,1316.500,4427.000,1291.667,624.750,938.500,1231.667,900.167,4351.000,1522.667,1595.000,3487,1645.000,390.300,3495.000,957.500,3856.000,24.698,53.740,140.840,123.180,78.140,24.567,64.120,85.870,106.700,134.540,59.650,45.690,29.760,123.930,58.490,99.970,55.840,162.740,119.090,160.280,81.560,162.540,80.060,35.200,63.610,131.550,180.900,118.740,155.400,83.780
1151.800,635.800,97.480,518.800,3003.500,3146.000,10886.667,869.333,2920.667,1288.600,466.200,9067,646.667,1077.667,1323.500,4375.000,1266.667,631.000,970.000,1269.333,933.333,4270.000,1500.000,1638.000,3401,1608.000,396.300,3539.000,962.500,3857.000,24.695,53.700,141.330,123.000,78.300,24.557,64.180,86.010,107.030,134.780,59.630,45.630,29.820,123.610,57.870,99.800,55.840,163.280,119.230,159.780,81.400,161.640,80.700,35.070,63.780,132.390,181.400,118.640,156.180,82.510
1151.800,635.800,97.480,518.800,3003.500,3146.000,10886.667,869.333,2920.667,1288.600,466.200,9067,646.667,1077.667,1323.500,4375.000,1266.667,631.000,970.000,1269.333,933.333,4270.000,1500.000,1638.000,3401,1608.000,396.300,3539.000,962.500,3857.000,24.957,53.960,140.750,123.140,78.310,24.613,63.960,85.930,106.090,136.340,59.020,45.630,29.910,123.800,57.740,100.150,55.930,162.930,118.890,159.860,81.630,163.330,79.820,35.050,63.990,133.430,181.110,117.380,157.800,82.780
1156.800,647.200,99.980,521.600,2693.500,3194.000,11233.333,878.833,3061.333,1265.200,469.900,9278,645.000,1077.667,1319.000,4464.000,1276.667,635.000,980.000,1293.333,941.500,4229.000,1514.333,1637.000,3458,1661.000,405.600,3540.000,981.250,3865.000,24.968,53.090,142.590,125.250,78.720,24.553,63.860,86.170,106.040,136.980,58.660,45.630,29.920,126.500,57.760,99.470,55.700,162.490,119.350,159.580,81.370,161.410,79.740,35.150,64.160,134.660,181.240,117.050,157.080,82.210
1155.000,646.400,101.500,510.900,2704.500,3266.000,10973.333,873.000,3082.333,1242.000,471.000,9347,636.667,1056.667,1301.000,4480.000,1255.000,627.250,972.000,1283.333,932.500,4234.000,1507.000,1625.000,3459,1673.000,401.600,3541.000,990.000,3890.000,24.990,55.910,143.020,125.140,79.360,24.597,63.930,85.320,105.590,137.410,58.790,45.510,30.630,126.060,57.760,98.220,55.620,163.250,119.880,161.360,82.140,161.770,79.690,35.690,64.480,134.720,181.420,117.010,158.850,82.510
1175.000,642.600,100.320,522.100,2695.500,3210.000,11240.000,865.500,3065.333,1273.200,483.300,9365,640.833,1080.333,1310.000,4512.000,1240.000,633.750,1012.000,1307.333,974.500,4219.000,1509.667,1640.000,3533,1647.000,405.100,3578.000,1003.750,3839.000,24.858,55.800,142.870,125.150,78.790,24.507,63.690,85.260,105.390,136.070,58.790,45.450,30.580,127.180,56.990,98.010,55.370,164.190,118.660,160.450,81.700,160.050,80.010,34.270,63.430,133.530,180.260,116.720,157.500,81.700
1167.600,639.200,100.220,514.900,2696.000,3246.000,10880.000,866.333,3065.000,1245.400,486.000,9254,638.167,1063.333,1298.500,4458.000,1300.000,627.250,996.250,1301.000,951.000,4242.000,1483.333,1624.000,3469,1656.000,395.500,3540.000,975.000,3839.000,24.665,56.570,143.690,125.030,79.910,24.517,64.040,85.720,105.660,136.520,58.820,45.830,30.710,128.260,56.730,97.710,56.100,165.670,115.610,162.070,82.550,160.410,79.380,34.660,64.280,133.470,180.440,117.150,159.360,81.350
