Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
1,782.878246284283818567928392440081,203.968126734506739694552379660308,0.260536204323705944396749600855,1,KO{1%}Cash{99%},100
2,1154.463041646554074759478680789471,255.283695652173747703272965736687,0.221127646743957351205267514160,1,CSCO{1%}Cash{99%},100
3,1295.055858719938896683743223547935,298.583450508794157940428704023361,0.230556426194558489184416316675,1,PG{1%}Cash{99%},100
4,1410.594457991368017246713861823082,536.374283071228319386136718094349,0.380246980294396297317405242211,1,AAPL{1%}Cash{99%},100
5,1864.493070073479657366988249123096,740.342409805747024620359297841787,0.397074369268945626121336545111,2,AAPL{1%}KO{1%}Cash{98%},100
6,2152.650482619084414181997999548912,834.957733580006902229797560721636,0.387874269567501483990668020851,2,AAPL{1%}PG{1%}Cash{98%},100
7,2219.152432009099811693886294960976,903.558519888993146196298766881227,0.407163792291167891956860103164,2,MSFT{1%}KO{1%}Cash{98%},100
8,2488.101150739964850799879059195518,944.430659111941508854215499013662,0.379578884415959716402966250826,2,AAPL{1%}KO{2%}Cash{97%},100
9,2599.534743066915325471200048923492,1038.925860314514466153923422098160,0.399658386211371063900799072144,3,AAPL{1%}PG{1%}KO{1%}Cash{97%},100
10,2669.719234151538330479525029659271,1107.646769195185015632887370884418,0.414892605569141592614101909930,2,MSFT{1%}KO{2%}Cash{97%},100
11,2971.455972446126452268799766898155,1235.964676225703442469239234924316,0.415945815010089925412017919371,2,AAPL{1%}MSFT{1%}Cash{98%},100
12,3179.526399073083666735328733921051,1243.014109620710769377183169126511,0.390943163731265863614083855282,3,AAPL{1%}PG{1%}KO{2%}Cash{96%},100
13,3212.370451556072111998219043016434,1276.716692876972729209228418767452,0.397437565850641938425269472646,2,AAPL{2%}KO{1%}Cash{97%},100
14,3249.216058748729210492456331849098,1311.735018501371769161778502166271,0.403708154454499423824387349669,2,MSFT{1%}KO{3%}Cash{96%},100
15,3267.800337836725702800322324037552,1439.932802960210210585501044988632,0.440642834351820111837838567226,3,AAPL{1%}MSFT{1%}KO{1%}Cash{97%},100
16,3708.834881492678960057673975825310,1644.021052266421065723989158868790,0.443271567701811253225940845368,3,AAPL{1%}MSFT{1%}KO{2%}Cash{96%},100
17,4088.912793975509430310921743512154,1751.528392691967383143492043018341,0.428360417779665214599305045340,3,AAPL{1%}KO{1%}INTC{1%}Cash{97%},100
18,4205.868072415056303725577890872955,1772.338959296954271849244832992554,0.421396707833314787539080725765,2,AAPL{2%}MSFT{1%}Cash{97%},100
19,4249.662838734026081510819494724274,1848.109301572608728747582063078880,0.434883747653533880850318382727,3,AAPL{1%}MSFT{1%}KO{3%}Cash{95%},100
20,4517.959055731957960233557969331741,1976.307086031445351181901060044765,0.437433598147396740518644264739,3,AAPL{2%}MSFT{1%}KO{1%}Cash{96%},100
21,4541.773642556178856466431170701981,2083.934549028666424419498071074486,0.458837166498636095379737298572,2,AAPL{2%}INTC{1%}Cash{97%},100
22,4902.130604070059234800282865762711,2287.902675763184561219532042741776,0.466715977306606799590582568271,3,AAPL{2%}KO{1%}INTC{1%}Cash{96%},100
23,5259.518122115766345814336091279984,2382.517999537461491854628548026085,0.452991689394357854858697010059,3,AAPL{2%}PG{1%}INTC{1%}Cash{96%},100
