7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1412.000,1375.800,103.280,713.500,5717.500,3159.000,19610.000,1629.667,5318.333,2026.000,766.000,15255,1185.000,1539.333,2225.000,4723.000,2463.333,1016.250,1480.750,1872.333,1144.667,2941.000,1690.333,1977.000,4345,1970.500,800.300,4320.000,1092.500,4722.000,56.815,115.610,269.100,139.690,150.790,31.467,113.500,83.670,124.390,207.600,71.530,46.230,48.870,166.670,84.460,116.240,53.840,206.910,166.440,153.000,159.860,225.330,152.280,46.450,107.900,382.290,212.190,128.970,194.460,72.460
1435.000,1367.200,103.360,714.000,5595.000,3141.000,19416.667,1649.667,5283.333,2033.000,766.800,15280,1192.667,1539.000,2239.500,4725.000,2500.000,1038.750,1474.500,1877.333,1162.000,2992.500,1704.000,1986.000,4453,1994.500,807.000,4391.000,1111.250,4733.000,57.320,115.150,270.630,140.480,149.670,31.717,113.970,84.360,124.740,204.750,71.750,46.510,49.010,165.180,82.770,117.660,54.420,207.670,166.030,153.750,157.260,226.070,154.820,48.100,108.390,386.370,215.710,129.510,194.460,73.490
1392.800,1324.200,102.100,701.900,5527.500,3032.000,19616.667,1649.667,5263.333,2011.000,756.800,14890,1182.000,1513.000,2211.000,4747.000,2500.000,1045.500,1424.250,1843.333,1112.667,2969.000,1697.000,1963.000,4371,2013.500,782.500,4340.000,1115.000,4694.000,58.017,115.170,270.900,139.030,149.370,31.357,115.040,83.030,125.310,203.740,71.370,45.870,49.140,164.660,82.500,116.910,54.290,206.900,165.380,153.220,159.100,227.780,158.220,48.760,108.450,392.300,215.760,129.540,193.170,73.800
1401.000,1322.600,100.860,723.900,5600.000,2981.000,19436.667,1617.667,5203.333,2007.000,760.200,14975,1200.333,1553.333,2261.500,4650.000,2366.667,1053.250,1436.250,1859.667,1115.333,2953.500,1710.000,1988.000,4338,1989.000,777.600,4348.000,1118.750,4646.000,56.998,112.790,268.320,139.350,146.760,31.403,115.270,81.920,124.950,198.850,71.220,45.850,48.380,165.800,80.180,116.130,55.020,203.470,164.710,151.310,154.900,227.480,156.750,48.130,107.740,389.990,213.840,130.790,192.030,73.340
1400.400,1319.200,101.240,732.700,5537.500,2978.500,19250.000,1619.333,5066.667,1984.800,759.400,14910,1205.667,1574.000,2272.500,4556.000,2346.667,1049.000,1419.750,1872.667,1108.667,2941.000,1704.667,1998.000,4269,1975.500,767.800,4315.000,1108.750,4708.000,56.072,112.130,269.200,139.100,145.360,31.103,114.620,82.150,125.330,196.380,71.030,45.880,48.130,166.570,80.120,114.780,54.940,204.020,164.070,149.030,155.070,225.710,153.310,47.030,107.230,386.470,213.190,130.130,189.570,72.510
1400.400,1319.200,101.240,732.700,5537.500,2978.500,19250.000,1619.333,5066.667,1984.800,759.400,14910,1205.667,1574.000,2272.500,4556.000,2346.667,1049.000,1419.750,1872.667,1108.667,2941.000,1704.667,1998.000,4269,1975.500,767.800,4315.000,1108.750,4708.000,55.943,110.850,269.010,139.390,141.890,31.563,115.320,82.400,124.840,198.410,71.460,46.480,47.520,167.770,80.230,116.020,55.020,205.570,164.860,148.390,148.650,225.350,153.350,47.030,106.990,385.770,214.370,131.660,189.480,74.150
1357.200,1315.400,99.720,724.300,5350.000,2971.500,19476.667,1591.667,4840.000,1902.200,730.200,14570,1209.000,1555.000,2241.500,4500.000,2310.000,1038.000,1367.000,1851.667,1074.333,2918.000,1696.000,1983.000,4164,1932.000,758.400,4300.000,1095.000,4666.000,56.718,112.260,270.110,139.200,142.310,32.360,114.520,82.200,126.820,195.750,72.340,46.390,47.490,169.830,80.420,116.890,54.990,206.000,160.940,147.240,148.500,222.910,149.460,46.550,106.660,385.440,210.420,131.590,182.520,73.560
1352.000,1313.800,99.880,727.600,5062.500,2990.500,19933.333,1582.333,4896.667,1875.000,729.800,14590,1202.667,1563.000,2247.500,4539.000,2310.000,1044.500,1358.000,1874.333,1069.000,2952.000,1693.000,1991.000,4080,1936.000,761.700,4325.000,1107.500,4728.000,54.090,106.160,263.080,137.730,135.520,31.920,111.470,81.440,122.600,193.700,70.450,45.680,45.630,168.370,74.940,112.860,54.330,201.200,156.620,142.690,137.810,214.890,143.720,44.800,103.570,367.470,202.150,128.170,177.960,72.310
1319.400,1257.600,98.220,694.100,4767.500,2935.000,19086.667,1503.333,4706.667,1794.200,701.000,13920,1158.333,1498.333,2187.500,4429.000,2266.667,1001.000,1316.500,1828.667,1028.333,2890.000,1646.667,1942.000,3801,1869.000,730.000,4216.000,1057.500,4558.000,53.612,105.910,257.120,133.840,133.730,31.307,108.130,78.870,118.430,189.740,68.370,44.640,44.120,162.970,74.510,111.150,53.330,193.850,153.620,139.020,139.240,212.970,140.970,44.230,101.580,358.110,196.730,124.310,176.940,70.900
1321.600,1251.600,97.780,685.600,4988.000,2932.000,18690.000,1489.000,4910.000,1834.400,700.400,14180,1140.000,1478.667,2174.000,4394.000,2246.667,987.500,1318.500,1791.667,1030.667,2869.500,1616.000,1932.000,3890,1828.500,734.000,4220.000,1057.500,4450.000,55.528,109.570,259.610,133.870,140.060,31.603,106.950,79.060,117.770,192.470,69.810,44.680,45.710,163.820,75.910,112.610,53.730,197.390,156.200,140.850,146.740,213.870,142.070,44.880,103.000,360.110,198.230,123.650,178.980,73.500
